time,error
20.6650,0.141219
20.6984,0.118074
20.7317,0.119652
20.7649,0.090983
20.7982,0.086396
20.8316,0.082326
20.8648,0.084937
20.8983,0.065375
20.9318,0.056250
20.9651,0.049502
20.9985,0.051515
21.0318,0.047028
21.0650,0.045330
21.0987,0.036124
21.1320,0.029934
21.1653,0.028091
21.1987,0.024110
21.2319,0.022733
21.2656,0.026007
21.2994,0.019103
21.3326,0.016478
21.3661,0.023340
21.3993,0.016720
21.4328,0.016517
21.4661,0.014123
21.4998,0.012963
21.5328,0.015211
21.5663,0.011466
21.5999,0.006725
21.6332,0.004829
21.6662,0.004967
21.6998,0.006039
21.7334,0.011750
21.7665,0.009443
21.7998,0.010573
21.8335,0.007970
21.8668,0.010755
21.9003,0.006286
21.9334,0.006690
21.9669,0.009492
22.0000,0.002618
22.0335,0.013697
22.0669,0.007481
22.1003,0.013276
22.1336,0.010607
22.1669,0.010926
22.2005,0.010159
22.2337,0.012632
22.2671,0.004997
22.3004,0.012468
22.3339,0.012821
22.3672,0.007958
22.4003,0.009363
22.4339,0.009220
22.4674,0.008984
22.5007,0.010107
22.5339,0.008914
22.5677,0.007615
22.6003,0.013594
22.6340,0.007582
22.6673,0.012299
22.7008,0.005091
22.7342,0.006358
22.7674,0.007574
22.8009,0.006522
22.8345,0.006554
22.8671,0.002013
22.9011,0.004414
22.9342,0.008178
22.9677,0.004973
23.0014,0.008811
23.0348,0.008541
23.0677,0.007287
23.1016,0.005448
23.1348,0.004231
23.1679,0.007077
23.2018,0.003697
23.2347,0.004216
23.2684,0.009161
23.3017,0.005384
23.3349,0.010718
23.3685,0.008122
23.4018,0.008770
23.4352,0.014888
23.4688,0.010624
23.5025,0.004020
23.5352,0.003787
23.5687,0.010694
23.6021,0.007015
23.6358,0.008265
23.6690,0.009986
23.7025,0.004819
23.7357,0.004871
23.7689,0.010139
23.8021,0.010039
23.8357,0.003797
23.8689,0.004208
23.9021,0.006439
23.9359,0.008733
23.9691,0.003899
24.0022,0.011914
24.0354,0.012947
24.0688,0.007072
24.1023,0.007010
24.1359,0.012373
24.1690,0.012471
24.2024,0.016084
24.2362,0.008392
24.2691,0.011208
24.3024,0.011740
24.3359,0.007964
24.3693,0.295486
24.4029,0.338455
24.4365,0.336926
24.4696,0.327958
24.5029,0.312246
24.5364,0.294310
24.5698,0.329162
24.6030,0.263297
24.6366,0.246376
24.6701,0.241574
24.7033,0.270390
24.7367,0.257188
24.7700,0.234413
24.8037,0.215351
24.8369,0.234182
24.8701,0.191752
24.9032,0.167642
24.9370,0.114468
24.9702,0.123501
25.0038,0.095569
25.0368,0.085421
25.0703,0.076980
25.1036,0.070555
25.1370,0.059520
25.1703,0.070497
25.2036,0.053346
25.2373,0.059132
25.2706,0.055886
25.3039,0.058110
25.3372,0.044648
25.3707,0.054907
25.4040,0.052581
25.4373,0.059301
25.4705,0.041764
25.5040,0.053442
25.5375,0.037797
25.5710,0.043438
25.6042,0.054073
25.6375,0.055233
25.6706,0.049434
25.7043,0.059315
25.7376,0.041372
25.7711,0.037803
25.8044,0.044827
25.8379,0.052879
25.8713,0.050995
25.9049,0.058429
25.9381,0.043923
25.9713,0.057024
26.0048,0.051395
26.0380,0.043332
26.0717,0.031897
26.1048,0.041360
26.1381,0.035983
26.1713,0.040797
26.2047,0.046079
26.2376,0.039190
26.2708,0.035720
26.3050,0.048356
26.3384,0.052380
26.3716,0.049311
26.4051,0.050796
26.4381,0.049094
26.4717,0.053582
26.5050,0.046895
26.5382,0.059796
26.5716,0.064606
26.6051,0.044982
26.6385,0.053455
26.6718,0.037537
26.7052,0.037746
26.7386,0.030761
26.7721,0.131237
26.8050,0.120997
26.8391,0.136178
26.8721,0.126286
26.9054,0.124286
26.9387,0.121728
26.9723,0.104638
27.0057,0.094955
27.0389,0.093105
27.0723,0.087063
27.1057,0.066039
27.1389,0.075089
27.1724,0.051713
27.2057,0.052976
27.2389,0.049769
27.2723,0.046991
27.3058,0.035926
27.3392,0.026849
27.3724,0.028990
27.4058,0.049441
27.4390,0.023209
27.4723,0.031297
27.5058,0.018504
27.5394,0.020919
27.5728,0.023697
27.6062,0.006880
27.6396,0.024747
27.6730,0.015497
27.7063,0.020605
27.7397,0.018786
27.7729,0.009819
27.8062,0.013095
27.8396,0.011287
27.8731,0.004648
27.9065,0.011407
27.9400,0.009560
27.9743,0.007437
28.0064,0.008453
28.0399,0.068811
28.0735,0.056851
28.1078,0.060711
28.1399,0.059373
28.1731,0.067193
28.2082,0.062783
28.2412,0.056182
28.2729,0.049615
28.3066,0.045431
28.3415,0.048775
28.3747,0.056547
28.4083,0.050737
28.4420,0.064695
28.4746,0.050154
28.5076,0.064472
28.5399,0.057490
28.5730,0.059949
28.6063,0.057865
28.6398,0.044996
28.6736,0.059592
28.7068,0.060469
28.7407,0.059874
28.7754,0.066636
28.8078,0.094080
28.8422,0.084225
28.8740,0.074570
28.9072,0.059944
28.9407,0.057861
28.9741,0.075748
29.0081,0.064326
29.0422,0.076000
29.0765,0.082841
29.1085,0.080587
29.1423,0.069801
29.1748,0.067324
29.2072,0.076870
29.2416,0.072551
29.2739,0.081057
29.3074,0.092189
29.3409,0.081673
29.3758,0.090510
29.4087,0.082514
29.4424,0.086778
29.4757,0.072951
29.5095,0.074905
29.5435,0.057021
29.5771,0.050969
29.6101,0.036358
29.6427,0.027877
29.6758,0.035637
29.7091,0.063448
29.7431,0.034415
29.7759,0.040486
29.8091,0.044272
29.8426,0.045443
29.8758,0.041785
29.9092,0.072704
29.9429,0.046351
29.9766,0.039496
30.0101,0.057154
30.0432,0.067686
30.0766,0.072241
30.1098,0.062682
30.1431,0.082344
30.1764,0.057336
30.2090,0.051558
30.2434,0.062891
30.2766,0.054788
30.3098,0.041816
30.3446,0.046622
30.3775,0.048887
30.4097,0.033737
30.4436,0.031258
30.4767,0.028424
30.5096,0.026347
30.5436,0.016075
30.5779,0.017901
30.6103,0.027339
30.6438,0.027571
30.6785,0.012671
30.7102,0.015079
30.7438,0.007254
30.7770,0.012833
30.8107,0.007877
30.8441,0.013994
30.8769,0.005279
30.9100,0.011918
30.9445,0.009166
30.9773,0.013356
31.0106,0.014085
31.0439,0.013372
31.0771,0.011909
31.1111,0.013793
31.1446,0.007475
31.1781,0.009694
31.2110,0.005044
31.2446,0.015242
31.2777,0.010517
31.3112,0.005918
31.3444,0.008284
31.3770,0.005734
31.4099,0.003397
31.4436,0.008340
31.4771,0.004828
31.5099,0.007000
31.5437,0.010030
31.5767,0.003995
31.6097,0.006198
31.6433,0.008999
31.6767,0.015907
31.7105,0.009069
31.7450,0.018596
31.7772,0.004066
31.8100,0.005247
31.8434,0.011807
31.8767,0.005212
31.9101,0.007899
31.9435,0.015782
31.9768,0.005236
